Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2024-09-26T16:00:00Z,PDD,127.43,-34,Market,Filled,-4332.62,"Liquidated" 
2024-09-30T14:00:00Z,BABA,111.65,30,Market,Filled,3349.5,"" 
2024-09-30T14:00:00Z,SOXL,36.55,94,Market,Filled,3435.7,"" 
2024-10-14T14:00:00Z,MSTR,223.84,15,Market,Filled,3357.6,"" 
2024-10-14T16:00:00Z,XLF,46.805,-57,Market,Filled,-2667.885,"Liquidated" 
2024-10-14T17:00:00Z,GOOG,166.28,21,Market,Filled,3491.88,"" 
2024-10-21T20:00:00Z,NVDA,0,-28,Market On Open,Canceled,0,"Liquidated" 
2024-10-21T20:15:00Z,NVDA,142.97,-28,Market On Open,Filled,-4003.16,"Liquidated" 
2024-10-25T14:00:00Z,AON,384.16,-10,Market,Filled,-3841.6,"Liquidated" 
2024-10-28T14:00:00Z,AMD,158,22,Market,Filled,3476,"" 
2024-10-28T14:00:00Z,COIN,213.28,16,Market,Filled,3412.48,"" 
2024-10-31T14:00:00Z,SOXL,30.05,-94,Market,Filled,-2824.7,"Liquidated" 
2024-10-31T20:00:00Z,COIN,0,-16,Market On Open,Canceled,0,"Liquidated" 
2024-10-31T20:15:00Z,COIN,0,-16,Market On Open,Canceled,0,"Liquidated" 
2024-11-01T04:00:00Z,COIN,180.2,-16,Market On Open,Filled,-2883.2,"Liquidated" 
2024-11-06T15:00:00Z,V,304.3,-9,Market,Filled,-2738.7,"Liquidated" 
2024-11-06T17:00:00Z,TQQQ,77.81,-52,Market,Filled,-4046.12,"Liquidated" 
2024-11-08T15:00:00Z,TSLA,308.49,-14,Market,Filled,-4318.86,"Liquidated" 
2024-11-08T16:00:00Z,BABA,94.275,-30,Market,Filled,-2828.25,"Liquidated" 
2024-11-11T15:00:00Z,SPY,599.165,17,Market,Filled,10185.805,"" 
2024-11-11T15:00:00Z,XLU,79.615,48,Market,Filled,3821.52,"" 
2024-11-11T15:00:00Z,TSLL,21.87,168,Market,Filled,3674.16,"" 
2024-11-11T15:00:00Z,BABA,95.73,38,Market,Filled,3637.74,"" 
2024-11-11T15:00:00Z,XLI,143.485,-21,Market,Filled,-3013.185,"Liquidated" 
2024-11-11T15:00:00Z,MSTR,299.06,-15,Market,Filled,-4485.9,"Liquidated" 
2024-11-11T16:00:00Z,MSTR,316.51,11,Market,Filled,3481.61,"" 
2024-11-11T16:00:00Z,COIN,316.45,11,Market,Filled,3480.95,"" 
2024-11-11T16:00:00Z,XLF,50.055,73,Market,Filled,3654.015,"" 
